latitude,longitude,krill_greenweight_kg,krill_catch_density,krill_greenweight_kg_log,krill_catch_density_log
-61,121,,,,
-61,123,,,,
-61,125,,,,
-61,127,,,,
-61,129,,,,
-61,131,,,,
-61,133,,,,
-61,135,,,,
-61,137,,,,
-61,139,,,,
-61,141,,,,
-61,143,,,,
-61,145,,,,
-61,147,,,,
-61,149,,,,
-61,151,,,,
-61,153,,,,
-61,155,,,,
-61,157,,,,
-61,159,,,,
-61,161,,,,
-61,163,,,,
-61,165,,,,
-61,167,,,,
-61,169,,,,
-61,171,,,,
-61,173,,,,
-61,175,,,,
-61,177,,,,
-61,179,,,,
-59,-179,,,,
-59,-177,,,,
-59,-175,,,,
-59,-173,,,,
-59,-171,,,,
-59,-169,,,,
-59,-167,,,,
-59,-165,,,,
-59,-163,,,,
-59,-161,,,,
-59,-159,,,,
-59,-157,,,,
-59,-155,,,,
-59,-153,,,,
-59,-151,,,,
-59,-149,,,,
-59,-147,,,,
-59,-145,,,,
-59,-143,,,,
-59,-141,,,,
-59,-139,,,,
-59,-137,,,,
-59,-135,,,,
-59,-133,,,,
-59,-131,,,,
-59,-129,,,,
-59,-127,,,,
-59,-125,,,,
-59,-123,,,,
-59,-121,,,,
-59,-119,,,,
-59,-117,,,,
-59,-115,,,,
-59,-113,,,,
-59,-111,,,,
-59,-109,,,,
-59,-107,,,,
-59,-105,,,,
-59,-103,,,,
-59,-101,,,,
-59,-99,,,,
-59,-97,,,,
-59,-95,,,,
-59,-93,,,,
-59,-91,,,,
-59,-89,,,,
-59,-87,,,,
-59,-85,,,,
-59,-83,,,,
-59,-81,,,,
-59,-79,,,,
-59,-77,,,,
-59,-75,,,,
-59,-73,,,,
-59,-71,,,,
-59,-69,,,,
-59,-67,,,,
-59,-65,,,,
-59,-63,,,,
-59,-61,,,,
-59,-59,,,,
-59,-57,,,,
-59,-55,,,,
-59,-53,,,,
-59,-51,199.99998799999,6.616307662801593,2.303196031492438,0.8817444791734571
-59,-49,383596.1665777678,12689.952043146766,5.583875390614932,4.103494202991171
-59,-47,403554.49755431194,13350.204373646135,5.605903267990506,4.12552044392055
-59,-45,672336.0,22241.9104784026,5.827587011974151,4.347191613935605
-59,-43,137000.0,4532.1710209495795,5.136723737177552,3.6564021038046914
-59,-41,,,,
-59,-39,,,,
-59,-37,,,,
-59,-35,,,,
-59,-33,,,,
-59,-31,,,,
-59,-29,,,,
-59,-27,,,,
-59,-25,,,,
-59,-23,,,,
-59,-21,,,,
-59,-19,,,,
-59,-17,,,,
-59,-15,,,,
-59,-13,,,,
-59,-11,,,,
-59,-9,,,,
-59,-7,,,,
-59,-5,,,,
-59,-3,,,,
-59,-1,,,,
-59,1,,,,
-59,3,,,,
-59,5,,,,
-59,7,,,,
-59,9,,,,
-59,11,,,,
-59,13,,,,
-59,15,,,,
-59,17,,,,
-59,19,,,,
-59,21,,,,
-59,23,,,,
-59,25,,,,
-59,27,,,,
-59,29,,,,
-59,31,,,,
-59,33,,,,
-59,35,,,,
-59,37,,,,
-59,39,,,,
-59,41,,,,
-59,43,,,,
-59,45,,,,
-59,47,,,,
-59,49,,,,
-59,51,,,,
-59,53,,,,
-59,55,,,,
-59,57,,,,
-59,59,,,,
-59,61,,,,
-59,63,,,,
-59,65,,,,
-59,67,,,,
-59,69,,,,
-59,71,,,,
-59,73,,,,
-59,75,,,,
-59,77,,,,
-59,79,,,,
-59,81,,,,
-59,83,,,,
-59,85,,,,
-59,87,,,,
-59,89,,,,
-59,91,,,,
-59,93,,,,
-59,95,,,,
-59,97,,,,
-59,99,,,,
-59,101,,,,
-59,103,,,,
-59,105,,,,
-59,107,,,,
-59,109,,,,
-59,111,,,,
-59,113,,,,
-59,115,,,,
-59,117,,,,
-59,119,,,,
-59,121,,,,
-59,123,,,,
-59,125,,,,
-59,127,,,,
-59,129,,,,
-59,131,,,,
-59,133,,,,
-59,135,,,,
-59,137,,,,
-59,139,,,,
-59,141,,,,
-59,143,,,,
-59,145,,,,
-59,147,,,,
-59,149,,,,
-59,151,,,,
-59,153,,,,
-59,155,,,,
-59,157,,,,
-59,159,,,,
-59,161,,,,
-59,163,,,,
-59,165,,,,
-59,167,,,,
-59,169,,,,
-59,171,,,,
-59,173,,,,
-59,175,,,,
-59,177,,,,
-59,179,,,,
-57,-179,,,,
-57,-177,,,,
-57,-175,,,,
-57,-173,,,,
-57,-171,,,,
-57,-169,,,,
-57,-167,,,,
-57,-165,,,,
-57,-163,,,,
-57,-161,,,,
-57,-159,,,,
-57,-157,,,,
-57,-155,,,,
-57,-153,,,,
-57,-151,,,,
-57,-149,,,,
-57,-147,,,,
-57,-145,,,,
-57,-143,,,,
-57,-141,,,,
-57,-139,,,,
-57,-137,,,,
-57,-135,,,,
-57,-133,,,,
-57,-131,,,,
-57,-129,,,,
-57,-127,,,,
-57,-125,,,,
-57,-123,,,,
-57,-121,,,,
-57,-119,,,,
-57,-117,,,,
-57,-115,,,,
-57,-113,,,,
-57,-111,,,,
-57,-109,,,,
-57,-107,,,,
-57,-105,,,,
-57,-103,,,,
-57,-101,,,,
-57,-99,,,,
-57,-97,,,,
-57,-95,,,,
-57,-93,,,,
-57,-91,,,,
-57,-89,,,,
-57,-87,,,,
-57,-85,,,,
-57,-83,,,,
-57,-81,,,,
-57,-79,,,,
-57,-77,,,,
-57,-75,,,,
-57,-73,,,,
-57,-71,,,,
-57,-69,,,,
-57,-67,,,,
-57,-65,,,,
-57,-63,,,,
-57,-61,,,,
-57,-59,,,,
-57,-57,,,,
-57,-55,,,,
-57,-53,,,,
-57,-51,,,,
-57,-49,,,,
-57,-47,8770.0,274.3580529829893,3.9430491110084067,2.4398977821608043
-57,-45,,,,
-57,-43,,,,
-57,-41,2064.0,64.56955773738768,3.31492005599242,1.8167022543869693
-57,-39,,,,
-57,-37,,,,
-57,-35,,,,
-57,-33,,,,
-57,-31,,,,
-57,-29,,,,
-57,-27,,,,
-57,-25,,,,
-57,-23,,,,
-57,-21,,,,
-57,-19,,,,
-57,-17,,,,
-57,-15,,,,
-57,-13,,,,
-57,-11,,,,
-57,-9,,,,
-57,-7,,,,
-57,-5,,,,
-57,-3,,,,
-57,-1,,,,
-57,1,,,,
-57,3,,,,
-57,5,,,,
-57,7,,,,
-57,9,,,,
-57,11,,,,
-57,13,,,,
-57,15,,,,
-57,17,,,,
-57,19,,,,
-57,21,,,,
-57,23,,,,
-57,25,,,,
-57,27,,,,
-57,29,,,,
-57,31,,,,
-57,33,,,,
-57,35,,,,
-57,37,,,,
-57,39,,,,
-57,41,,,,
-57,43,,,,
-57,45,,,,
-57,47,,,,
-57,49,,,,
-57,51,,,,
-57,53,,,,
-57,55,,,,
-57,57,,,,
-57,59,,,,
-57,61,,,,
-57,63,,,,
-57,65,,,,
-57,67,,,,
-57,69,,,,
-57,71,,,,
-57,73,,,,
-57,75,,,,
-57,77,,,,
-57,79,,,,
-57,81,,,,
-57,83,,,,
-57,85,,,,
-57,87,,,,
-57,89,,,,
-57,91,,,,
-57,93,,,,
-57,95,,,,
-57,97,,,,
-57,99,,,,
-57,101,,,,
-57,103,,,,
-57,105,,,,
-57,107,,,,
-57,109,,,,
-57,111,,,,
-57,113,,,,
-57,115,,,,
-57,117,,,,
-57,119,,,,
-57,121,,,,
-57,123,,,,
-57,125,,,,
-57,127,,,,
-57,129,,,,
-57,131,,,,
-57,133,,,,
-57,135,,,,
-57,137,,,,
-57,139,,,,
-57,141,,,,
-57,143,,,,
-57,145,,,,
-57,147,,,,
-57,149,,,,
-57,151,,,,
-57,153,,,,
-57,155,,,,
-57,157,,,,
-57,159,,,,
-57,161,,,,
-57,163,,,,
-57,165,,,,
-57,167,,,,
-57,169,,,,
-57,171,,,,
-57,173,,,,
-57,175,,,,
-57,177,,,,
-57,179,,,,
-55,-179,,,,
-55,-177,,,,
-55,-175,,,,
-55,-173,,,,
-55,-171,,,,
-55,-169,,,,
-55,-167,,,,
-55,-165,,,,
-55,-163,,,,
-55,-161,,,,
-55,-159,,,,
-55,-157,,,,
-55,-155,,,,
-55,-153,,,,
-55,-151,,,,
-55,-149,,,,
-55,-147,,,,
-55,-145,,,,
-55,-143,,,,
-55,-141,,,,
-55,-139,,,,
-55,-137,,,,
-55,-135,,,,
-55,-133,,,,
-55,-131,,,,
-55,-129,,,,
-55,-127,,,,
-55,-125,,,,
-55,-123,,,,
-55,-121,,,,
-55,-119,,,,
-55,-117,,,,
-55,-115,,,,
-55,-113,,,,
-55,-111,,,,
-55,-109,,,,
-55,-107,,,,
-55,-105,,,,
-55,-103,,,,
-55,-101,,,,
-55,-99,,,,
-55,-97,,,,
-55,-95,,,,
-55,-93,,,,
-55,-91,,,,
-55,-89,,,,
-55,-87,,,,
-55,-85,,,,
-55,-83,,,,
-55,-81,,,,
-55,-79,,,,
-55,-77,,,,
-55,-75,,,,
-55,-73,,,,
-55,-71,,,,
-55,-69,,,,
-55,-67,,,,
-55,-65,,,,
-55,-63,,,,
-55,-61,,,,
-55,-59,,,,
-55,-57,,,,
-55,-55,,,,
-55,-53,,,,
-55,-51,,,,
-55,-49,,,,
-55,-47,,,,
-55,-45,,,,
-55,-43,,,,
-55,-41,,,,
-55,-39,13558810.785699436,402771.69612434035,7.132221632191478,5.605060022148592
-55,-37,1782618.3972573527,52953.62895417523,6.25105862791153,4.7239039293422325
-55,-35,109865817.79499337,3263622.634667109,8.04086259672098,6.5137000695635265
-55,-33,14000.0,415.877456722683,4.1461590556048185,2.6200084106320447
-55,-31,,,,
-55,-29,,,,
-55,-27,,,,
-55,-25,,,,
-55,-23,,,,
-55,-21,,,,
-55,-19,,,,
-55,-17,,,,
-55,-15,,,,
-55,-13,,,,
-55,-11,,,,
-55,-9,,,,
-55,-7,,,,
-55,-5,,,,
-55,-3,,,,
-55,-1,,,,
-55,1,,,,
-55,3,,,,
-55,5,,,,
-55,7,,,,
-55,9,,,,
-55,11,,,,
-55,13,,,,
-55,15,,,,
-55,17,,,,
-55,19,,,,
-55,21,,,,
-55,23,,,,
-55,25,,,,
-55,27,,,,
-55,29,,,,
-55,31,,,,
-55,33,,,,
-55,35,,,,
-55,37,,,,
-55,39,,,,
-55,41,,,,
-55,43,,,,
-55,45,,,,
-55,47,,,,
-55,49,,,,
-55,51,,,,
-55,53,,,,
-55,55,,,,
-55,57,,,,
-55,59,,,,
-55,61,,,,
-55,63,,,,
-55,65,,,,
-55,67,,,,
-55,69,,,,
-55,71,,,,
-55,73,,,,
-55,75,,,,
-55,77,,,,
-55,79,,,,
-55,81,,,,
-55,83,,,,
-55,85,,,,
-55,87,,,,
-55,89,,,,
-55,91,,,,
-55,93,,,,
-55,95,,,,
-55,97,,,,
-55,99,,,,
-55,101,,,,
-55,103,,,,
-55,105,,,,
-55,107,,,,
-55,109,,,,
-55,111,,,,
-55,113,,,,
-55,115,,,,
-55,117,,,,
-55,119,,,,
-55,121,,,,
-55,123,,,,
-55,125,,,,
-55,127,,,,
-55,129,,,,
-55,131,,,,
-55,133,,,,
-55,135,,,,
-55,137,,,,
-55,139,,,,
-55,141,,,,
-55,143,,,,
-55,145,,,,
-55,147,,,,
-55,149,,,,
-55,151,,,,
-55,153,,,,
-55,155,,,,
-55,157,,,,
-55,159,,,,
-55,161,,,,
-55,163,,,,
-55,165,,,,
-55,167,,,,
-55,169,,,,
-55,171,,,,
-55,173,,,,
-55,175,,,,
-55,177,,,,
-55,179,,,,
-53,-179,,,,
-53,-177,,,,
-53,-175,,,,
-53,-173,,,,
-53,-171,,,,
-53,-169,,,,
-53,-167,,,,
-53,-165,,,,
-53,-163,,,,
-53,-161,,,,
-53,-159,,,,
-53,-157,,,,
-53,-155,,,,
-53,-153,,,,
-53,-151,,,,
-53,-149,,,,
-53,-147,,,,
-53,-145,,,,
-53,-143,,,,
-53,-141,,,,
-53,-139,,,,
-53,-137,,,,
-53,-135,,,,
-53,-133,,,,
-53,-131,,,,
-53,-129,,,,
-53,-127,,,,
-53,-125,,,,
-53,-123,,,,
-53,-121,,,,
-53,-119,,,,
-53,-117,,,,
-53,-115,,,,
-53,-113,,,,
-53,-111,,,,
-53,-109,,,,
-53,-107,,,,
-53,-105,,,,
-53,-103,,,,
-53,-101,,,,
-53,-99,,,,
-53,-97,,,,
-53,-95,,,,
-53,-93,,,,
-53,-91,,,,
-53,-89,,,,
-53,-87,,,,
-53,-85,,,,
-53,-83,,,,
-53,-81,,,,
-53,-79,,,,
-53,-77,,,,
-53,-75,,,,
-53,-73,,,,
-53,-71,,,,
-53,-69,,,,
-53,-67,,,,
-53,-65,,,,
-53,-63,,,,
-53,-61,,,,
-53,-59,,,,
-53,-57,,,,
-53,-55,,,,
-53,-53,,,,
-53,-51,,,,
-53,-49,,,,
-53,-47,12000.0,339.74147246384615,4.079217435746567,2.532424995810489
-53,-45,51700.0,1463.7195105317371,4.713498943292817,3.1657544665391635
-53,-43,9738000.0,275700.20490441116,6.988469814807787,5.440438664118808
-53,-41,67440.0,1909.3470752468156,4.8289240012854595,3.28111227780844
-53,-39,94344527.13172087,2671062.3805530113,7.974716716677821,6.426684193336931
-53,-37,106871621.08675912,3025726.826051148,8.028862401118548,6.480829859258766
-53,-35,87263477.00356981,2470585.1807923154,7.940832518387873,6.392800007867106
-53,-33,,,,
-53,-31,,,,
-53,-29,,,,
-53,-27,,,,
-53,-25,,,,
-53,-23,,,,
-53,-21,,,,
-53,-19,,,,
-53,-17,,,,
-53,-15,,,,
-53,-13,,,,
-53,-11,,,,
-53,-9,,,,
-53,-7,,,,
-53,-5,,,,
-53,-3,,,,
-53,-1,,,,
-53,1,,,,
-53,3,,,,
-53,5,,,,
-53,7,,,,
-53,9,,,,
-53,11,,,,
-53,13,,,,
-53,15,,,,
-53,17,,,,
-53,19,,,,
-53,21,,,,
-53,23,,,,
-53,25,,,,
-53,27,,,,
-53,29,,,,
-53,31,,,,
-53,33,,,,
-53,35,,,,
-53,37,,,,
-53,39,,,,
-53,41,,,,
-53,43,,,,
-53,45,,,,
-53,47,,,,
-53,49,,,,
-53,51,,,,
-53,53,,,,
-53,55,,,,
-53,57,,,,
-53,59,,,,
-53,61,,,,
-53,63,,,,
-53,65,,,,
-53,67,,,,
-53,69,,,,
-53,71,,,,
-53,73,,,,
-53,75,,,,
-53,77,,,,
-53,79,,,,
-53,81,,,,
-53,83,,,,
-53,85,,,,
-53,87,,,,
-53,89,,,,
-53,91,,,,
-53,93,,,,
-53,95,,,,
-53,97,,,,
-53,99,,,,
-53,101,,,,
-53,103,,,,
-53,105,,,,
-53,107,,,,
-53,109,,,,
-53,111,,,,
-53,113,,,,
-53,115,,,,
-53,117,,,,
-53,119,,,,
-53,121,,,,
-53,123,,,,
-53,125,,,,
-53,127,,,,
-53,129,,,,
-53,131,,,,
-53,133,,,,
-53,135,,,,
-53,137,,,,
-53,139,,,,
-53,141,,,,
-53,143,,,,
-53,145,,,,
-53,147,,,,
-53,149,,,,
-53,151,,,,
-53,153,,,,
-53,155,,,,
-53,157,,,,
-53,159,,,,
-53,161,,,,
-53,163,,,,
-53,165,,,,
-53,167,,,,
-53,169,,,,
-53,171,,,,
-53,173,,,,
-53,175,,,,
-53,177,,,,
-53,179,,,,
-51,-179,,,,
-51,-177,,,,
-51,-175,,,,
-51,-173,,,,
-51,-171,,,,
-51,-169,,,,
-51,-167,,,,
-51,-165,,,,
-51,-163,,,,
-51,-161,,,,
-51,-159,,,,
-51,-157,,,,
-51,-155,,,,
-51,-153,,,,
-51,-151,,,,
-51,-149,,,,
-51,-147,,,,
-51,-145,,,,
-51,-143,,,,
-51,-141,,,,
-51,-139,,,,
-51,-137,,,,
-51,-135,,,,
-51,-133,,,,
-51,-131,,,,
-51,-129,,,,
-51,-127,,,,
-51,-125,,,,
-51,-123,,,,
-51,-121,,,,
-51,-119,,,,
-51,-117,,,,
-51,-115,,,,
-51,-113,,,,
-51,-111,,,,
-51,-109,,,,
-51,-107,,,,
-51,-105,,,,
-51,-103,,,,
-51,-101,,,,
-51,-99,,,,
-51,-97,,,,
-51,-95,,,,
-51,-93,,,,
-51,-91,,,,
-51,-89,,,,
-51,-87,,,,
-51,-85,,,,
-51,-83,,,,
-51,-81,,,,
-51,-79,,,,
-51,-77,,,,
-51,-75,,,,
-51,-73,,,,
-51,-71,,,,
-51,-69,,,,
-51,-67,,,,
-51,-65,,,,
-51,-63,,,,
-51,-61,,,,
-51,-59,,,,
-51,-57,,,,
-51,-55,,,,
-51,-53,,,,
-51,-51,,,,
-51,-49,,,,
-51,-47,,,,
-51,-45,,,,
-51,-43,,,,
-51,-41,,,,
-51,-39,,,,
-51,-37,72749.0,1969.6415756733295,4.861832997657945,3.2946076410920107
-51,-35,,,,
-51,-33,,,,
-51,-31,,,,
-51,-29,,,,
-51,-27,,,,
-51,-25,,,,
-51,-23,,,,
-51,-21,,,,
-51,-19,,,,
-51,-17,,,,
-51,-15,,,,
-51,-13,,,,
-51,-11,,,,
-51,-9,,,,
-51,-7,,,,
-51,-5,,,,
-51,-3,,,,
-51,-1,,,,
-51,1,,,,
-51,3,,,,
-51,5,,,,
-51,7,,,,
-51,9,,,,
-51,11,,,,
-51,13,,,,
-51,15,,,,
-51,17,,,,
-51,19,,,,
-51,21,,,,
-51,23,,,,
-51,25,,,,
-51,27,,,,
-51,29,,,,
-51,31,,,,
-51,33,,,,
-51,35,,,,
-51,37,,,,
-51,39,,,,
-51,41,,,,
-51,43,,,,
-51,45,,,,
-51,47,,,,
-51,49,,,,
-51,51,,,,
-51,53,,,,
-51,55,,,,
-51,57,,,,
-51,59,,,,
-51,61,,,,
-51,63,,,,
-51,65,,,,
-51,67,,,,
-51,69,,,,
-51,71,,,,
-51,73,,,,
-51,75,,,,
-51,77,,,,
-51,79,,,,
-51,81,,,,
-51,83,,,,
-51,85,,,,
-51,87,,,,
-51,89,,,,
-51,91,,,,
-51,93,,,,
-51,95,,,,
-51,97,,,,
-51,99,,,,
-51,101,,,,
-51,103,,,,
-51,105,,,,
-51,107,,,,
-51,109,,,,
-51,111,,,,
-51,113,,,,
-51,115,,,,
-51,117,,,,
-51,119,,,,
-51,121,,,,
-51,123,,,,
-51,125,,,,
-51,127,,,,
-51,129,,,,
-51,131,,,,
-51,133,,,,
-51,135,,,,
-51,137,,,,
-51,139,,,,
-51,141,,,,
-51,143,,,,
-51,145,,,,
-51,147,,,,
-51,149,,,,
-51,151,,,,
-51,153,,,,
-51,155,,,,
-51,157,,,,
-51,159,,,,
-51,161,,,,
-51,163,,,,
-51,165,,,,
-51,167,,,,
-51,169,,,,
-51,171,,,,
-51,173,,,,
-51,175,,,,
-51,177,,,,
-51,179,,,,
